,iptg,median_yfp,filename,strain,backbone,plasmid
5,40,0.0,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
6,70,0.0,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
7,100,-0.03,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
8,200,0.03,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
9,500,0.0,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
10,1000,-0.03,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
11,2000,0.13,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
0,1,0.09,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
1,5,0.04,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
2,10,0.03,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
3,20,-0.05,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
4,30,-0.08,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
5,40,-0.07,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
6,70,-0.09,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
7,100,-0.03,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
8,200,0.06,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
9,500,0.03,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
10,1000,0.02,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
11,2000,0.01,Interop_DH5alpha_pSeva221_Bm3R1_B2.csv,DH5alpha,pSeva221,Bm3R1_B2
0,1,20.94,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
1,5,10.87,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
2,10,5.95,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
3,20,2.11,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
4,30,0.79,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
5,40,0.6,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
6,70,0.31,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
7,100,0.06,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
8,200,0.03,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
9,500,-0.03,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
10,1000,-0.13,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
11,2000,0.06,Interop_CC118Lpir_pSeva231_PsrA_R1.csv,CC118Lpir,pSeva231,PsrA_R1
0,1,0.98,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
1,5,0.09,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
2,10,0.06,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
3,20,-0.03,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
4,30,0.09,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
5,40,0.09,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
6,70,0.03,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
7,100,0.06,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
8,200,0.13,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
9,500,0.13,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
10,1000,0.13,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
11,2000,0.22,Interop_CC118Lpir_pSeva231_SrpR_S1.csv,CC118Lpir,pSeva231,SrpR_S1
0,1,1.29,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
1,5,1.2,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
2,10,1.13,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
3,20,1.13,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
4,30,1.13,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
5,40,1.13,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
6,70,1.15,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
7,100,1.13,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
8,200,1.08,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
9,500,1.05,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
10,1000,1.03,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
11,2000,1.07,Interop_KT2440_pSeva231_Bm3R1_B1.csv,KT2440,pSeva231,Bm3R1_B1
0,1,13.3,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
1,5,7.7,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
2,10,3.5,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
3,20,1.5,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
4,30,0.7,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
5,40,0.4,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
6,70,0.3,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
7,100,0.1,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
8,200,0.0,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
9,500,0.1,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
10,1000,0.0,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
11,2000,0.2,Interop_CC118Lpir_pSeva221_BetI_E1.csv,CC118Lpir,pSeva221,BetI_E1
0,1,23.91,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
1,5,11.87,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
2,10,10.02,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
3,20,2.27,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
4,30,1.39,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
5,40,0.22,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
6,70,0.03,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
7,100,-0.03,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
8,200,-0.06,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
9,500,-0.03,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
10,1000,0.0,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
11,2000,0.06,Interop_CC118Lpir_pSeva231_PhIF_P2.csv,CC118Lpir,pSeva231,PhIF_P2
0,1,0.51,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
1,5,0.43,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
2,10,0.45,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
3,20,0.45,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
4,30,0.44,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
5,40,0.46,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
6,70,0.53,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
7,100,0.49,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
8,200,0.57,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
9,500,0.55,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
10,1000,0.56,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
11,2000,0.54,Interop_KT2440_pSeva251_Bm3R1_B3.csv,KT2440,pSeva251,Bm3R1_B3
0,1,0.01,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
1,5,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
2,10,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
3,20,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
4,30,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
5,40,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
6,70,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
7,100,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
8,200,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
9,500,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
10,1000,0.0,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
11,2000,0.01,Interop_KT2440_pSeva231_HIyIIR_H1.csv,KT2440,pSeva231,HIyIIR_H1
0,1,3.53,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
1,5,2.75,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
2,10,2.56,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
3,20,2.56,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
4,30,2.66,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
5,40,2.47,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
6,70,2.97,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
7,100,3.02,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
8,200,2.73,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
9,500,2.73,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
10,1000,3.16,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
11,2000,3.24,Interop_KT2440_pSeva251_AmeR_F1.csv,KT2440,pSeva251,AmeR_F1
0,1,3.72,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
1,5,0.9,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
2,10,0.18,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
3,20,0.03,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
4,30,0.0,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
5,40,0.02,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
6,70,0.03,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
7,100,0.03,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
8,200,0.02,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
9,500,0.02,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
10,1000,0.01,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
11,2000,0.03,Interop_DH5alpha_pSeva221_PhIF_P3.csv,DH5alpha,pSeva221,PhIF_P3
0,1,5.7,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
1,5,3.1,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
2,10,1.8,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
3,20,1.1,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
4,30,0.3,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
5,40,0.1,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
6,70,0.1,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
7,100,0.0,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
8,200,-0.1,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
9,500,0.0,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
10,1000,0.0,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
11,2000,0.5,Interop_CC118Lpir_pSeva221_LcaRA_I1.csv,CC118Lpir,pSeva221,LcaRA_I1
0,1,3.41,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
1,5,3.22,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
2,10,3.08,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
3,20,3.07,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
4,30,2.95,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
5,40,2.91,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
6,70,2.82,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
7,100,2.78,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
8,200,2.49,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
9,500,2.16,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
10,1000,2.03,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
11,2000,1.82,Interop_KT2440_pSeva231_QacR_Q2.csv,KT2440,pSeva231,QacR_Q2
0,1,1.53,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
1,5,0.6,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
2,10,0.4,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
3,20,0.03,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
4,30,-0.02,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
5,40,-0.01,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
6,70,-0.02,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
7,100,-0.01,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
8,200,-0.01,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
9,500,-0.01,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
10,1000,-0.02,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
11,2000,0.0,Interop_DH5alpha_pSeva221_SrpR_S2.csv,DH5alpha,pSeva221,SrpR_S2
0,1,3.69,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
1,5,3.12,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
2,10,3.07,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
3,20,3.04,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
4,30,2.92,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
5,40,2.87,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
6,70,2.85,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
7,100,2.77,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
8,200,2.76,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
9,500,2.58,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
10,1000,2.23,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
11,2000,2.32,Interop_KT2440_pSeva221_BetI_E1.csv,KT2440,pSeva221,BetI_E1
0,1,1.45,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
1,5,0.76,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
2,10,0.76,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
3,20,0.28,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
4,30,0.16,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
5,40,0.22,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
6,70,0.06,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
7,100,0.13,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
8,200,0.13,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
9,500,0.03,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
10,1000,0.03,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
11,2000,0.06,Interop_CC118Lpir_pSeva231_Bm3R1_B2.csv,CC118Lpir,pSeva231,Bm3R1_B2
0,1,1.46,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
1,5,0.68,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
2,10,0.4,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
3,20,0.34,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
4,30,0.33,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
5,40,0.32,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
6,70,0.34,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
7,100,0.37,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
8,200,0.42,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
9,500,0.46,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
10,1000,0.41,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
11,2000,0.41,Interop_DH5alpha_pAN_AmtR_A1.csv,DH5alpha,pAN,AmtR_A1
0,1,0.28,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
1,5,0.24,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
2,10,0.22,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
3,20,0.29,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
4,30,0.22,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
5,40,0.25,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
6,70,0.25,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
7,100,0.3,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
8,200,0.29,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
9,500,0.31,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
10,1000,0.29,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
11,2000,0.28,Interop_KT2440_pSeva221_Bm3R1_B3.csv,KT2440,pSeva221,Bm3R1_B3
0,1,3.42,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
1,5,3.3,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
2,10,3.24,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
3,20,3.1,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
4,30,3.12,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
5,40,3.25,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
6,70,3.28,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
7,100,3.59,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
8,200,3.24,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
9,500,3.12,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
10,1000,2.91,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
11,2000,3.03,Interop_KT2440_pSeva251_PhIF_P1.csv,KT2440,pSeva251,PhIF_P1
0,1,1.61,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
1,5,0.88,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
2,10,0.72,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
3,20,0.47,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
4,30,0.25,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
5,40,0.09,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
6,70,0.0,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
7,100,0.0,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
8,200,0.06,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
9,500,0.03,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
10,1000,0.0,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
11,2000,0.13,Interop_CC118Lpir_pSeva231_Bm3R1_B3.csv,CC118Lpir,pSeva231,Bm3R1_B3
0,1,1.82,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
1,5,0.76,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
2,10,0.52,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
3,20,0.16,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
4,30,0.08,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
5,40,0.08,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
6,70,0.05,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
7,100,0.06,Interop_DH5alpha_pAN_SrpR_S2.csv,DH5alpha,pAN,SrpR_S2
