,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
108,KT2440,Hiyiir_h1,pSeva221,1,1.8041428882381725,2.645716833483595,0.4678474164510152,0.6630420064326776,0.5841690014061668,0.9820482125281916,0.3797199557440568,1.7967155630578955,0.5,0.4960593052574902
109,KT2440,Hiyiir_h1,pSeva221,5,1.7780364877540815,2.497526367575332,0.4585345103875931,0.6439813975290698,0.5608821630212761,0.9806693144157518,0.3796187242859881,1.8300224542065038,0.49,0.5172867233248162
110,KT2440,Hiyiir_h1,pSeva221,10,1.756429925190892,2.506675185402542,0.4630069024162313,0.6365624756838043,0.5746082903723602,0.98353833213902,0.3789380737756247,1.8070106399933072,0.48,0.5025453145094584
111,KT2440,Hiyiir_h1,pSeva221,20,1.6859104628470605,2.523874607932912,0.4712054076489405,0.6544947238677521,0.5582388390509803,0.980689270209298,0.3909498435160538,1.7276376080282145,0.43,0.4542246464463964
112,KT2440,Hiyiir_h1,pSeva221,30,1.7303589501941048,2.554459340467163,0.4748008387979896,0.6361502628475799,0.5626993764131896,0.9843942181686912,0.39249962420363016,1.7611176226057068,0.46,0.4741399230079888
113,KT2440,Hiyiir_h1,pSeva221,40,1.6928026061900618,2.5005608470407514,0.4815169176467235,0.660666362961394,0.5563895696073959,0.9806861719176848,0.4001027906835933,1.7443587278423172,0.44,0.4640877067962092
114,KT2440,Hiyiir_h1,pSeva221,70,1.6249180635273648,2.49921642292535,0.4795292820056221,0.6590835263234388,0.5555990605856482,0.9832837584393256,0.3987047891746195,1.6768550164637535,0.4,0.4252615791708112
115,KT2440,Hiyiir_h1,pSeva221,100,1.5792351177515151,2.517568144842287,0.4885762941022516,0.6667413970148381,0.5082109473014047,0.9830578520501818,0.42077784390764494,1.6202482925373103,0.38,0.3946638118524429
116,KT2440,Hiyiir_h1,pSeva221,200,1.4305959624474458,2.5107919984807943,0.5159023816089804,0.6915617215606091,0.4810078194499982,0.9816379221214292,0.4523000292079969,1.4725452802398873,0.31,0.3225227556919338
117,KT2440,Hiyiir_h1,pSeva221,500,1.0413517472087517,2.5504755414817635,0.5306121404145027,0.7225972727831309,0.4317776951302296,0.983325578679298,0.4786015682919122,1.0658358245718889,0.17,0.17106807646666275
118,KT2440,Hiyiir_h1,pSeva221,1000,0.6403350796837433,2.5474186324030987,0.4924397498829399,0.7320322252301726,0.3823798345807071,0.9839050176469938,0.4550169035626243,0.660985120435105,0.08,0.07059769458783761
119,KT2440,Hiyiir_h1,pSeva221,2000,0.333349331751269,2.62744139322074,0.4642479324421338,0.740450690532093,0.35217069966993003,0.9857654221142408,0.43450625423822015,0.33340595431194686,0.03,0.014364537048934683
120,KT2440,Lcara_i1,pSeva221,1,3.8451060232586265,2.6719855956633904,0.5352782549744413,0.6782443255946321,0.5491339821451837,0.9759508073468374,0.4473504135645697,3.8259124643380558,4.61,4.637761080688482
121,KT2440,Lcara_i1,pSeva221,5,3.731981584529152,2.5643143982161054,0.5143702977486512,0.6555770494138825,0.5315560046027029,0.98051741821952,0.4356835490562817,3.758416439235231,4.13,4.326529559034354
122,KT2440,Lcara_i1,pSeva221,10,3.6700968685569295,2.515865840543881,0.5175652821732583,0.6554187861170386,0.5263410853223647,0.9818648808498256,0.4400720552432368,3.7165783090535967,3.85,4.143894026807346
123,KT2440,Lcara_i1,pSeva221,20,3.6155278196455103,2.5567740758225685,0.5014196414554738,0.6692559823618455,0.540784987327902,0.9785535438382164,0.42177457834312,3.6442637611107562,3.67,3.845689868964959
124,KT2440,Lcara_i1,pSeva221,30,3.5524394552543974,2.5340202913048007,0.5046123349292977,0.6516771277095167,0.5390297851332247,0.9817050050926736,0.4250282600870051,3.5915391732180995,3.41,3.641466711284471
125,KT2440,Lcara_i1,pSeva221,40,3.5283942165544717,2.5318414810408254,0.4926475215389991,0.646217315797498,0.5474775882106264,0.9775491257849771,0.4122574691146148,3.5684020418971065,3.33,3.555191203092637
126,KT2440,Lcara_i1,pSeva221,70,3.5045096064137713,2.628379627965037,0.4776393139363128,0.644937460727285,0.5824047911232042,0.9809249464491292,0.3882724839583119,3.50421552857452,3.27,3.326038716779338
127,KT2440,Lcara_i1,pSeva221,100,3.347405225467118,2.5692706939020136,0.4829513698893952,0.6482243424847841,0.5707447350693947,0.9817486046252476,0.3965646733682953,3.372249973058426,2.77,2.898684457938096
